epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1197.35,0.98847,0.49459,0.83905,0.8931,0.80643,0.86668,0.67841,0.95754,0.49193,0.83654,0.000236197,0.000236197,0.000236197
2,2358.05,0.9965,0.50861,0.84476,0.89496,0.7857,0.84927,0.63993,0.98293,0.50151,0.84151,0.000435076,0.000435076,0.000435076
3,3498.45,1.045,0.56326,0.85572,0.68497,0.71696,0.72006,0.49623,1.15367,0.59369,0.8755,0.000594684,0.000594684,0.000594684
4,4643.07,1.05581,0.56825,0.85812,0.81317,0.79636,0.82909,0.61629,1.03707,0.53998,0.8507,0.000537285,0.000537285,0.000537285
5,5783.96,1.0308,0.52945,0.851,0.87206,0.77609,0.824,0.62307,1.04553,0.52043,0.85283,0.00047838,0.00047838,0.00047838
6,6930.97,1.00972,0.51778,0.84594,0.87224,0.8108,0.84779,0.63934,1.01671,0.51794,0.84825,0.000419475,0.000419475,0.000419475
7,8071.06,1.00264,0.50538,0.84507,0.88882,0.7973,0.84731,0.643,0.99536,0.50226,0.84397,0.00036057,0.00036057,0.00036057
8,9211.11,0.97862,0.48745,0.84328,0.83158,0.81602,0.85201,0.65481,0.98739,0.48282,0.84219,0.000301665,0.000301665,0.000301665
9,10349.6,0.96207,0.47097,0.8397,0.88826,0.82119,0.86699,0.67768,0.95918,0.46508,0.83857,0.00024276,0.00024276,0.00024276
10,11494.3,0.94698,0.4518,0.83346,0.91072,0.81082,0.87035,0.67139,0.94222,0.45244,0.83623,0.000183855,0.000183855,0.000183855
11,12637.3,0.92066,0.43601,0.83173,0.90022,0.82563,0.87365,0.67487,0.94922,0.45013,0.83561,0.00012495,0.00012495,0.00012495
12,13775.4,0.91954,0.42883,0.83241,0.89633,0.82991,0.87897,0.67876,0.9399,0.43734,0.83403,6.6045e-05,6.6045e-05,6.6045e-05
