epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1181.17,1.40282,1.59796,0.94649,0.78829,0.29514,0.32744,0.21587,1.19932,0.82039,0.88403,0.000236197,0.000236197,0.000236197
2,2349.58,1.23639,0.80178,0.8935,0.67746,0.55547,0.56124,0.3955,1.11368,0.73401,0.8671,0.000451842,0.000451842,0.000451842
3,3512.44,1.21881,0.77685,0.88674,0.79576,0.46409,0.58694,0.41263,1.16291,0.68379,0.87349,0.000645047,0.000645047,0.000645047
4,4669.03,1.201,0.734,0.88248,0.64561,0.6563,0.63638,0.44899,1.13287,0.64778,0.86737,0.00061302,0.00061302,0.00061302
5,5827.84,1.18181,0.68588,0.87428,0.77441,0.6824,0.70197,0.49378,1.13042,0.623,0.86219,0.00057936,0.00057936,0.00057936
6,6989.12,1.1517,0.64929,0.86796,0.84876,0.70394,0.75664,0.55738,1.07098,0.58982,0.86144,0.0005457,0.0005457,0.0005457
7,8145.74,1.12822,0.61995,0.86723,0.82913,0.72134,0.75153,0.54538,1.09418,0.58671,0.86201,0.00051204,0.00051204,0.00051204
8,9300.08,1.10835,0.60771,0.86252,0.85197,0.73727,0.77198,0.57163,1.09138,0.5667,0.85788,0.00047838,0.00047838,0.00047838
9,10464.3,1.0938,0.5911,0.85885,0.82091,0.72104,0.7721,0.58771,1.01434,0.53957,0.84891,0.00044472,0.00044472,0.00044472
10,11622.2,1.09233,0.58188,0.86252,0.79396,0.79477,0.82581,0.62417,0.99646,0.52224,0.84675,0.00041106,0.00041106,0.00041106
11,12793.1,1.05837,0.55178,0.85525,0.86789,0.78643,0.82478,0.61323,1.00087,0.5198,0.84712,0.0003774,0.0003774,0.0003774
12,13946,1.04864,0.56114,0.85601,0.81329,0.71783,0.78171,0.59447,1.02429,0.55581,0.84917,0.00034374,0.00034374,0.00034374
13,15098.9,1.02669,0.53625,0.85094,0.86325,0.78409,0.83587,0.63524,1.00434,0.52273,0.84793,0.00031008,0.00031008,0.00031008
14,16249.1,1.01607,0.51707,0.85065,0.87925,0.76602,0.82078,0.62685,1.00203,0.51807,0.84479,0.00027642,0.00027642,0.00027642
15,17400.2,1.01303,0.50935,0.84939,0.8743,0.77171,0.84206,0.65069,0.98841,0.4968,0.84201,0.00024276,0.00024276,0.00024276
16,18542.1,0.98611,0.48877,0.84336,0.88725,0.79329,0.85676,0.66268,0.97707,0.47819,0.84055,0.0002091,0.0002091,0.0002091
17,19685.4,0.97789,0.47913,0.83924,0.90223,0.79573,0.85755,0.66805,0.96932,0.47328,0.83896,0.00017544,0.00017544,0.00017544
18,20834.4,0.96838,0.4701,0.83825,0.91596,0.79572,0.86089,0.66347,0.97702,0.47232,0.83912,0.00014178,0.00014178,0.00014178
19,21976.8,0.94584,0.45097,0.83702,0.90975,0.81337,0.86419,0.67231,0.95587,0.4588,0.83576,0.00010812,0.00010812,0.00010812
20,23121.6,0.93376,0.44592,0.83345,0.91052,0.82523,0.87197,0.67761,0.94101,0.45043,0.83376,7.446e-05,7.446e-05,7.446e-05
21,24269.6,0.91732,0.43384,0.83246,0.92427,0.82243,0.87231,0.6828,0.92824,0.44235,0.83203,4.08e-05,4.08e-05,4.08e-05
